Player,First Event Date,Latest Event Date,Latest JPAR Out,Total Events,Ave Weighted JPAR Contribution,Ave Competition Strength,12-Month Avg Completion Time
Raquel Plensa Puigbó,6/15/2024,6/15/2024,0.2295877914,1,0.75,0.8884098359,80.5
Gabriel Moreno Turcu,3/16/2024,2/8/2025,0.2886215985,12,0.7352941176,0.8729766164,44.84305556
Haruka Soku,12/7/2024,12/7/2024,0.3061050346,1,0.75,0.9371907605,46.98333333
Molly Weiring,10/12/2024,10/12/2024,0.3094996939,1,0.5,0.783371577,100.75
Natsuko Moriwaki - 奈都子,12/7/2024,12/7/2024,0.316203569,1,0.75,0.9371907605,48.53333333
Alejandro Clemente León,4/25/2024,10/19/2024,0.318963841,12,0.6052631579,0.7409008293,40.87307692
Amal Gamal,7/20/2024,7/20/2024,0.320,1,0.75,#NUM!,71.36666667
Imane Hamada,7/20/2024,7/20/2024,0.3222624675,1,0.75,#NUM!,71.98333333
Andrés Felipe Muñoz Triviño,1/2/2025,1/2/2025,0.330,1,0.75,0.8596302889,66.9
Tracy Nonomura,5/4/2024,5/4/2024,0.3392461044,2,0.75,0.7121918417,46.29166667
Manuel Espinosa Torres,3/23/2024,2/8/2025,0.3475014698,11,0.7708333333,0.7900344786,54.96666667
Soraya Pérez Carayol,3/23/2024,2/8/2025,0.3529468232,11,0.75,0.7982103772,53.07878788
Mariko Haya,12/7/2024,12/7/2024,0.358,1,0.75,0.9371907605,55
Weronika Huptas,9/18/2024,9/21/2024,0.3616097682,3,0.9166666667,0.6286176479,38.74444444
Miguel Moratiel De la Varga,5/11/2024,2/8/2025,0.3674214779,6,0.75,0.8171718576,63.24722222
Emilie Therrien,10/19/2024,10/19/2024,0.369449073,1,0.25,0.8032310537,33.75
Krystian Niedziela,7/28/2024,2/11/2025,0.371,9,0.4722222222,0.744135785,40.49444444
Kaoru Nagaoka,12/7/2024,12/7/2024,0.3762518429,1,0.75,0.9371907605,57.75
Alejandro Heras Gago,3/16/2024,12/28/2024,0.3792463963,3,0.6875,0.9125746074,61.08333333
Brenda Paola Sánchez Reyes,1/2/2025,1/2/2025,0.3795231791,1,0.75,0.8596302889,76.96666667
Alejandro Clemente Leon,10/13/2024,10/13/2024,0.3803859239,1,0.25,0.7737911418,34.1
Mercédesz Arthofer,9/19/2024,9/21/2024,0.3829662111,3,0.8333333333,0.6797466449,41.14722222
Rebeka Konute,10/12/2024,10/12/2024,0.384,1,0.5,0.783371577,125.0166667
Sam Hobbes,5/4/2024,5/4/2024,0.3842786479,1,0.75,0.8398926475,63.68333333
Laura Aizpurua De Arteche,1/25/2025,1/25/2025,0.3893889009,1,0.75,0.9231612522,57.18333333
Sofie Borre,10/12/2024,10/12/2024,0.390,1,0.5,0.783371577,127.1
Ann-Lovise Esbjörnsson,10/12/2024,10/12/2024,0.3905993655,1,0.5,0.783371577,127.15
Sandra Girgis Danial,7/20/2024,7/20/2024,0.392,1,0.75,#NUM!,87.55
Lina Ivanova,9/19/2024,9/21/2024,0.3926358129,3,0.9166666667,0.6385336213,42.05
Maríana Mendes,6/15/2024,6/15/2024,0.3937507506,1,0.75,0.8884098359,54.71666667
Hayley Soontiens,5/4/2024,5/4/2024,0.3967493499,1,0.75,0.8398926475,65.75
Daniela De Oliveira Dinato,10/19/2024,1/2/2025,0.4010978103,2,0.75,0.9354004183,47.275
Linaya Van Donkersgoed,5/4/2024,5/4/2024,0.4021801395,1,0.75,0.8398926475,66.65
Catalina Restrepo Tobon,1/2/2025,1/2/2025,0.4024523621,1,0.75,0.8596302889,81.61666667
Selma Kristersson,10/12/2024,12/19/2024,0.404,2,0.375,0.7609818873,86.99166667
Mariam Ragab Mahmoud,7/20/2024,7/20/2024,0.4052344203,1,0.75,#NUM!,90.51666667
Katharina Reiner,9/1/2024,2/9/2025,0.4066445737,11,0.6071428571,0.7344519844,43.74242424
